00000a	JTL OBU1
00000b	JTL OBU2
00000c	DSB TB1
00000d	ALS CPH1
013098	
014200	
014201	
014202	
014229	
00332a	MR 4003 TT1
003778	MR 4021 TT2
003779	MR 4074 TT3
00377a	MR 4097 TT4
0037ac	DSB IC3 5024
0037ad	DSB IC3 5025
0037ae	DSB IC3 5026
0037af	DSB IC3 5027
0037b0	DSB IC3 5028
0037b1	DSB IC3 5029
0037b2	DSB IC3 5030
0037b3	DSB IC3 5031
0037b4	DSB IC3 5032
0037b5	DSB IC3 5033
0037b6	DSB IC3 5034
0037b7	DSB IC3 5035
0037b8	DSB IC3 5036
0037b9	DSB IC3 5037
0037ba	DSB IC3 5038
0037bb	DSB IC3 5039
0037bc	DSB IC3 5040
0037bd	DSB IC3 5041
0037be	DSB IC3 5042
0037bf	DSB IC3 5043
0037c0	DSB IC3 5044
0037c1	DSB IC3 5045
0037c2	DSB IC3 5046
0037c3	DSB IC3 5047
0037c4	DSB IC3 5048
0037c5	DSB IC3 5049
0037c6	DSB IC3 5050
0037c7	DSB IC3 5051
0037c8	DSB IC3 5052
0037c9	DSB IC3 5053
0037ca	DSB IC3 5054
0037cb	DSB IC3 5055
0037cc	DSB IC3 5056
0037cd	DSB IC3 5057
0037ce	DSB IC3 5058
0037cf	DSB IC3 5059
0037d0	DSB IC3 5060
0037d1	DSB IC3 5061
0037d2	DSB IC3 5062
0037d3	DSB IC3 5063
0037d4	DSB IC3 5064
0037d5	DSB IC3 5065
0037d6	DSB IC3 5066
0037d7	DSB IC3 5067
0037d8	DSB IC3 5068
0037d9	DSB IC3 5069
0037da	DSB IC3 5070
0037db	DSB IC3 5071
0037dc	DSB IC3 5072
0037dd	DSB IC3 5073
0037de	DSB IC3 5074
0037df	DSB IC3 5075
0037e0	DSB IC3 5076
0037e1	DSB IC3 5077
0037e2	DSB IC3 5078
0037e3	DSB IC3 5079
0037f5	DSB MQ 4111
0037f6	DSB MQ 4112
0037f7	DSB MQ 4113
0037f8	DSB MQ 4114
0037f9	DSB MQ 4115
0037fa	DSB MQ 4116
0037fb	DSB MQ 4117
0037fc	DSB MQ 4118
0037fd	DSB MQ 4119
0037fe	DSB MQ 4120
0037ff	DSB MQ 4121
003800	DSB MQ 4122
003801	DSB MQ 4123
003802	DSB MQ 4124
003803	DSB MQ 4125
003804	DSB MQ 4126
003805	DSB MQ 4127
003806	DSB MQ 4128
003807	DSB MQ 4129
003808	DSB MQ 4130
003809	LT LINT41 2024
00380a	LT LINT41 2025
00380b	LT LINT41 2026
00380c	LT LINT41 2027
00380d	LT LINT41 2028
00380e	LT LINT41 2029
00380f	LT LINT41 2030
003810	LT LINT41 2031
003811	LT LINT41 2032
003812	LT LINT41 2033
003813	LT LINT41 2034
003814	LT LINT41 2035
003815	LT LINT41 2036
003816	LT LINT41 2037
003817	LT LINT41 2038
003818	LT LINT41 2039
003819	NJ Desiro 541 571
00381a	NJ Desiro 542 572
00381b	NJ Desiro 543 573
00381c	NJ Desiro 544 574
00381d	NJ Desiro 545 575
00381e	NJ Desiro 546 576
00381f	NJ Desiro 547 577
003820	NJ Desiro 541 578
003825	BDK HOBW-120-4A TR752
003826	BDK HOBW-120-4A TR753
003827	BDK HOBW-120-4A TR754
003828	BDK COMBI 08-275 COM541
003829	BDK COMBI 08-275 COM542
003832	Hectorail Taurus 1242
003833	LINT41 AR 1001
003834	LINT41 AR 1002
003835	LINT41 AR 1003
003836	LINT41 AR 1004
003837	LINT41 AR 1005
003838	LINT41 AR 1006
003839	LINT41 AR 1007
00383a	LINT41 AR 1008
00383b	LINT41 AR 1009
00383c	LINT41 AR 1010
00383d	LINT41 AR 1011
00383e	LINT41 AR 1012
00383f	LINT41 AR 1013
003840	LINT41 AR 1014
003841	LINT41 AR 1015
003842	LINT41 AR 1016
003843	LINT41 AR 1017
003844	LINT41 AR 1018
003845	LINT41 AR 1019
003846	LINT41 AR 1020
003847	LINT41 AR 1021
